Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Developed Economies and EU,2,9,10,20018,29,3,2,7235,4,21,1211,31,1075,18.0,29.076266666666665,21.92930721643593,24.40029523809524,19.182000000000002,27.614333333333335,1
Asia-Pacific,5,4,14,42059,42,3,4,550,10,7,1277,13,7638,13.1,34.87246666666667,9.719857700055721,35.87394285714286,20.141000000000002,22.994333333333337,1
Latin America and the Caribbean,1,7,11,40392,48,6,1,818,9,8,421,22,2250,51.8,31.95820952380953,16.981098109810983,21.427942857142856,17.154666666666667,20.449733333333338,0
Central and South-Eastern Europe and CIS,2,2,12,10893,55,7,4,148,7,36,717,39,5316,46.9,21.069428571428574,27.5004500450045,31.931514285714286,7.467,37.0926,1
Asia-Pacific,5,6,20,21030,25,2,4,70,8,16,739,14,2647,8.5,34.77267619047619,24.043675796151042,25.63243809523809,6.881666666666667,26.009000000000004,0
Central and South-Eastern Europe and CIS,5,3,17,48019,56,2,4,867,10,9,353,23,4147,13.1,29.373514285714286,14.898089808980899,32.91320952380953,20.652333333333335,20.72853333333333,0
Middle East,4,8,19,5134,44,1,5,528,5,45,244,18,9228,8.5,34.6254,23.437743774377438,30.071161904761905,19.374,26.35486666666667,0
Central and South-Eastern Europe and CIS,4,7,8,47450,31,1,1,622,2,29,795,36,4825,51.8,32.737209523809526,14.505364822196507,28.28078095238095,22.309333333333335,19.28026666666667,0
Middle East,5,9,18,10770,18,7,5,767,7,15,489,6,8552,13.1,33.629647619047624,26.66646664666467,23.97527619047619,14.277333333333333,22.36626666666667,1
Latin America and the Caribbean,2,10,3,23312,29,4,3,6840,8,8,1498,9,8049,13.1,31.200000000000006,21.045947451888047,24.800047619047618,16.94333333333333,26.299733333333336,0
Middle East,5,8,15,5315,21,4,1,9990,2,43,553,32,9670,8.5,33.08273333333334,16.559213064163558,28.076171428571428,15.450666666666669,31.87433333333334,0
Latin America and the Caribbean,5,7,16,20754,50,10,2,166,6,4,467,13,2478,12.0,35.51063809523809,19.566842398525566,26.66849523809524,16.197333333333333,17.359066666666667,0
Latin America and the Caribbean,1,6,7,29258,35,1,3,858,9,20,631,13,9080,46.9,25.661904761904765,20.64785049933565,40.7074,12.542666666666666,24.780266666666666,0
Central and South-Eastern Europe and CIS,2,10,3,12658,60,7,3,4084,10,33,1360,4,4109,12.0,22.49916190476191,11.52052348091952,26.418238095238095,11.786666666666665,30.20626666666667,0
Central and South-Eastern Europe and CIS,2,7,10,21586,18,1,3,846,2,15,502,19,2738,51.8,36.94467619047619,18.093480776649095,22.61492380952381,19.881666666666664,35.131933333333336,0
Central and South-Eastern Europe and CIS,4,6,23,4491,54,4,3,929,3,29,854,28,7060,46.9,24.697333333333333,11.808480848084809,29.105561904761906,20.974333333333337,34.1128,0
Latin America and the Caribbean,2,9,2,38905,33,3,2,3800,8,12,737,35,281,18.0,36.197904761904766,21.61759033046162,24.951352380952383,14.631333333333336,34.64240000000001,0
Asia-Pacific,1,4,1,21506,34,2,3,9801,10,2,1083,37,3510,46.9,30.73230476190476,19.34587744488735,27.757352380952376,19.242333333333335,33.11246666666667,0
Africa,1,8,11,22569,13,2,1,2451,6,16,237,4,3213,46.9,16.57270476190476,13.231723172317233,21.176523809523808,11.195666666666666,37.11873333333333,0
Developed Economies and EU,4,3,4,9297,45,3,3,335,9,55,21,5,6468,8.5,25.553380952380948,20.211635449259212,34.75739047619048,7.840000000000001,26.639733333333332,0
Developed Economies and EU,4,6,8,13210,16,5,2,1253,10,22,963,20,4940,51.8,30.407723809523812,27.960281742459962,34.10850476190477,14.946666666666667,30.117933333333337,0
Middle East,2,6,19,10188,37,2,1,2013,2,10,888,35,7702,46.9,20.818971428571427,14.500521480719502,21.33188571428572,19.08566666666667,24.244,0
Latin America and the Caribbean,3,3,1,13663,10,4,4,490,5,34,1008,33,1586,51.8,28.81824761904762,16.844327289871845,37.305219047619055,19.988666666666667,22.021266666666666,0
Latin America and the Caribbean,3,9,3,24566,18,9,2,5246,8,35,777,6,6184,51.8,18.450180952380954,28.25778292114926,22.482723809523808,13.707666666666665,34.78473333333334,0
Middle East,4,8,11,42919,13,6,3,1728,10,56,610,38,7992,51.8,34.64097142857143,8.872615833011873,28.31055238095238,10.878333333333334,26.18226666666667,0
Africa,2,8,19,6954,67,5,1,537,5,9,970,6,8367,51.8,28.849428571428575,27.198491277699198,15.502447619047622,12.543666666666667,30.6346,0
Middle East,5,10,17,25837,10,9,1,809,9,5,445,12,7588,51.8,31.027933333333337,17.166802394525167,20.629457142857145,19.142000000000003,29.837466666666668,0
Central and South-Eastern Europe and CIS,5,3,11,14066,24,2,4,354,1,43,959,10,4861,13.1,26.83741904761905,15.363193462203364,16.157628571428575,19.648333333333333,30.183466666666668,0
Latin America and the Caribbean,3,2,2,43803,43,3,5,2716,1,43,753,38,1932,51.8,20.940780952380955,19.14764333576215,31.094209523809525,20.53933333333333,24.762533333333334,0
Asia-Pacific,5,9,23,8203,60,4,4,7040,5,19,1035,37,8165,18.0,28.615019047619043,29.081522437958085,12.954390476190477,8.993666666666666,30.67460000000001,1
Asia-Pacific,4,7,24,10896,59,1,2,134,3,43,356,37,3290,51.8,25.283685714285713,16.341748460560346,36.5328380952381,22.782000000000004,21.047133333333335,0
Middle East,3,10,20,14534,37,8,4,596,2,24,1101,39,228,18.0,26.352800000000006,18.611604017544614,25.927038095238093,6.066333333333334,27.191933333333335,0
Middle East,2,2,19,23984,67,1,5,237,4,25,1433,7,2678,18.0,24.780380952380952,6.495892446387497,35.94849523809524,18.611,19.022533333333335,1
Africa,5,1,5,30428,28,2,1,179,4,38,179,6,6546,13.1,28.969476190476197,14.52820996385353,36.40574285714286,20.678,29.146133333333335,0
Africa,1,9,10,22501,14,8,3,4594,1,40,256,5,3776,8.5,22.64457142857143,11.9003043161459,39.78924761904762,20.726999999999997,30.251266666666666,0
Latin America and the Caribbean,1,1,19,33977,16,7,2,551,10,32,247,14,3327,8.5,21.115952380952383,22.02613118454703,39.747590476190474,11.503333333333336,27.86933333333334,0
Middle East,2,7,12,11324,21,10,5,945,2,5,1360,8,5992,51.8,26.349847619047623,28.886517223150886,30.441704761904763,14.882666666666665,28.357466666666664,0
Asia-Pacific,1,7,2,23400,32,10,2,3138,10,50,1102,2,7336,51.8,38.45644761904762,17.321875044647324,34.84504761904763,11.219333333333335,26.786400000000004,0
Central and South-Eastern Europe and CIS,4,10,4,25457,56,2,5,6672,2,59,552,10,3040,18.0,24.902533333333334,14.710756789964712,20.526076190476193,19.45266666666667,33.4228,0
Central and South-Eastern Europe and CIS,5,7,8,47642,31,3,1,826,4,48,1436,2,7759,46.9,24.022428571428573,21.3969539811124,24.651228571428575,17.224,31.69173333333333,0
Developed Economies and EU,1,2,16,20577,15,9,2,799,8,48,280,9,4367,46.9,24.684161904761908,23.293586501507292,25.16478095238095,7.919333333333334,35.92293333333333,0
Latin America and the Caribbean,5,4,5,44882,11,2,2,6480,4,49,636,30,8019,8.5,21.942780952380954,22.229594388010227,30.84564761904762,15.394333333333336,26.16186666666667,0
Latin America and the Caribbean,2,3,3,37245,19,6,1,977,4,4,626,34,7816,13.1,24.586380952380953,26.61733316188762,36.70280952380953,6.383333333333334,27.718999999999998,0
Africa,2,4,2,35440,28,4,1,615,8,40,45,26,273,18.0,27.824657142857145,22.595316674524597,21.120714285714286,11.792000000000002,29.999,0
Africa,5,8,7,9112,55,6,4,1515,7,56,1279,9,1337,46.9,32.66164761904762,22.41767033846242,30.372742857142864,6.603333333333332,22.60353333333334,0
Latin America and the Caribbean,3,7,5,30686,22,2,3,620,3,19,1309,16,7628,46.9,24.2897619047619,18.362193362193366,32.32992380952381,17.522666666666666,29.01306666666667,0
Middle East,4,6,3,34553,46,7,5,6741,4,43,1290,1,2093,46.9,27.282028571428572,25.022730844513024,35.57235238095238,9.256666666666668,24.266866666666665,0
Middle East,5,6,8,31445,14,10,4,380,3,53,1110,27,1722,13.1,34.71796190476191,23.320032003200318,36.8750380952381,13.643666666666668,20.975800000000003,1
Developed Economies and EU,4,6,23,26500,23,10,4,407,1,15,947,28,5724,46.9,23.516733333333335,21.416855971311417,17.467704761904763,19.129,25.684066666666666,1
Asia-Pacific,5,2,24,47550,28,2,3,1440,5,27,146,20,8147,18.0,35.6914,12.853242467103854,24.194961904761904,12.466333333333333,28.789199999999997,0
Asia-Pacific,3,3,10,45798,32,8,4,1844,5,37,316,24,4219,12.0,45.574790476190486,25.536053605360536,31.10724761904762,8.276333333333334,21.492866666666668,0
Central and South-Eastern Europe and CIS,2,8,4,16343,66,4,3,8999,3,32,567,34,9998,51.8,18.848657142857142,26.037475176089043,25.544009523809525,23.624000000000002,22.1584,1
Asia-Pacific,4,2,13,5458,16,6,4,8075,10,4,166,10,4091,51.8,29.504485714285718,34.140671209978144,32.99833333333333,9.573666666666668,28.185200000000005,0
Latin America and the Caribbean,1,1,10,47276,31,3,3,305,2,55,898,37,6867,46.9,30.791809523809523,11.206334919206205,25.9164,19.971333333333334,15.973266666666666,0
Asia-Pacific,4,2,24,6736,54,8,5,794,6,35,202,27,7627,12.0,25.803961904761902,15.148800594345149,32.83728571428572,15.741333333333335,35.68693333333333,0
Latin America and the Caribbean,2,1,12,18174,25,2,4,291,3,60,682,4,5203,13.1,24.2462380952381,21.7966082322518,33.494666666666674,11.284,26.49373333333333,0
Latin America and the Caribbean,5,9,24,22745,52,3,3,8406,7,32,533,35,5499,12.0,28.0849619047619,17.312502678839316,27.575647619047622,5.615333333333333,15.972200000000003,0
Latin America and the Caribbean,1,8,4,7188,61,9,2,3690,4,6,303,40,7050,18.0,30.219685714285717,17.341119826268343,13.921285714285716,4.353666666666667,21.575466666666667,0
Latin America and the Caribbean,5,1,18,710,57,7,2,1330,3,28,759,34,3634,8.5,34.07951428571429,31.333090451902336,20.065885714285713,14.506333333333332,17.67966666666667,0
Middle East,4,9,10,41520,10,8,1,694,8,36,893,36,4470,18.0,31.125076190476197,21.45837440886946,32.23032380952382,8.569,37.393666666666675,0
Central and South-Eastern Europe and CIS,3,1,18,38476,64,6,1,1485,10,16,453,7,5634,8.5,15.821685714285715,14.681739602531682,37.64095238095238,9.920666666666667,22.357466666666667,0
Africa,2,3,15,19865,28,8,1,1885,2,21,1182,37,6532,46.9,17.400780952380956,16.68059663109168,21.754609523809528,14.496333333333332,31.16486666666667,1
Asia-Pacific,2,3,7,39647,36,5,1,788,3,55,974,22,2310,12.0,29.159066666666668,22.929092909290933,24.974123809523807,15.105000000000002,13.713600000000001,0
Central and South-Eastern Europe and CIS,5,6,9,5782,60,1,2,3607,9,4,136,14,9206,51.8,40.5528,14.115168659723116,26.22473333333334,14.368333333333336,25.851599999999998,0
Africa,2,9,22,30604,13,6,3,3222,2,55,585,6,4888,13.1,18.232533333333336,20.471361421856475,26.19455238095238,19.540666666666663,30.60466666666667,0
Developed Economies and EU,2,4,22,44624,47,10,1,783,6,1,283,24,1663,51.8,16.193952380952382,18.932778992184936,28.600428571428573,15.585,28.702266666666667,0
Central and South-Eastern Europe and CIS,2,6,2,6280,59,3,4,270,9,32,1195,2,2146,46.9,26.415123809523816,17.683596931121684,35.97679047619049,11.849333333333334,28.497600000000006,1
Africa,1,5,13,20496,46,9,2,403,6,34,91,40,5170,51.8,25.79069523809524,29.633277613475638,23.21682857142857,11.720666666666666,19.757800000000003,0
Latin America and the Caribbean,4,7,15,15802,39,4,5,9600,1,14,382,8,4363,46.9,20.623361904761907,17.923749517808922,22.869095238095237,5.267333333333334,29.436799999999998,0
Africa,4,9,22,21435,49,7,3,8866,3,55,381,32,5263,12.0,15.287895238095238,23.780763790664782,30.154457142857144,16.415000000000003,17.326866666666668,0
Africa,1,6,18,38239,47,6,1,6489,9,38,94,37,2975,46.9,17.016304761904763,25.959310216735958,23.51721904761905,13.238666666666669,30.537999999999997,1
Asia-Pacific,3,4,18,23318,11,8,2,8812,3,26,1057,21,3853,12.0,18.856314285714287,16.694383724086695,30.88326666666667,8.185666666666668,23.148933333333332,1
Developed Economies and EU,2,2,15,27693,15,5,1,295,5,24,1140,24,4029,13.1,28.906933333333335,25.282871144257285,22.30955238095238,9.437333333333333,30.679533333333335,0
Developed Economies and EU,3,10,24,29529,61,8,1,785,6,1,1299,37,8493,13.1,35.899266666666676,9.07063563499207,25.91300952380952,19.128333333333337,22.146133333333335,0
Middle East,2,9,4,31577,45,5,5,199,1,31,649,29,2893,12.0,29.864504761904765,17.096638235252097,28.550961904761905,15.843666666666667,29.522466666666663,1
Middle East,5,8,20,33956,48,1,3,2755,9,26,645,39,1134,12.0,30.908295238095242,28.283356907119288,33.26724761904762,8.993666666666668,33.60046666666668,0
Asia-Pacific,3,3,24,44405,49,10,2,161,9,18,549,10,7490,8.5,27.403895238095238,20.572585830011576,15.855809523809524,13.454666666666668,23.260866666666665,1
Africa,4,6,17,2948,29,7,4,7535,1,43,69,26,1892,12.0,25.01172380952381,19.829297215435833,35.20725714285714,18.477333333333334,42.72246666666667,1
Middle East,2,2,21,48350,41,10,2,3607,10,29,813,11,5405,12.0,20.68372380952381,30.3975683282614,27.917885714285717,19.396333333333335,20.128266666666665,0
Middle East,5,9,17,13368,42,5,1,3030,10,48,75,15,1459,46.9,27.909809523809525,30.114840055434115,22.807923809523807,23.829000000000004,34.412066666666675,0
Latin America and the Caribbean,2,10,19,21799,47,4,3,569,1,54,276,4,1006,18.0,25.573123809523814,13.455188375980457,23.98894285714286,15.979000000000001,28.19613333333333,0
Asia-Pacific,2,8,22,35840,56,7,5,829,3,7,1121,29,9829,18.0,23.170961904761906,24.894618033231897,26.41882857142857,24.237333333333332,17.41166666666667,0
Developed Economies and EU,2,7,12,4545,11,5,2,463,6,54,1265,5,144,46.9,36.106276190476194,9.894932350377896,29.997066666666672,19.267333333333337,22.10526666666667,0
Middle East,2,4,13,25681,45,10,3,461,3,30,483,33,6952,18.0,29.84761904761905,21.899932850427902,34.833038095238095,13.008000000000001,25.365533333333335,1
Developed Economies and EU,3,9,23,47250,58,4,4,329,8,40,1245,22,8873,13.1,25.625314285714285,18.324746760390322,19.27632380952381,9.792000000000002,31.496333333333343,0
Central and South-Eastern Europe and CIS,4,10,22,28937,29,8,3,7181,8,35,904,40,5694,8.5,30.368695238095246,25.49000614347149,20.122342857142854,15.787666666666667,21.28366666666667,0
Africa,3,7,19,45522,50,7,3,855,2,50,1135,27,1062,18.0,38.450942857142856,6.643378623576644,27.834971428571432,16.083,37.47893333333334,1
Developed Economies and EU,1,9,16,17634,19,1,3,776,2,60,1209,40,5725,46.9,25.578876190476198,18.403354621176405,24.894104761904764,18.580333333333332,26.23526666666666,0
Developed Economies and EU,1,8,15,25157,43,4,5,902,1,23,659,15,7308,51.8,29.384333333333334,13.065792293515067,24.92615238095238,16.163666666666664,33.86386666666667,0
Asia-Pacific,5,6,22,188,20,7,4,340,5,25,69,7,3651,46.9,18.987580952380952,20.696069606960698,28.909819047619045,23.062,33.9254,0
Developed Economies and EU,5,2,21,43782,48,7,4,769,1,55,1316,22,4692,46.9,18.170266666666667,13.70975668995471,24.0196,23.758999999999997,29.391866666666665,0
Latin America and the Caribbean,5,10,17,8725,47,2,4,3217,3,19,1251,3,8490,51.8,27.74079047619048,19.222493677939223,21.440485714285714,14.296000000000001,19.378466666666668,1
Africa,1,8,7,11565,38,1,1,6264,4,50,36,7,2091,13.1,15.327180952380957,22.82708270827083,32.09446666666667,19.46966666666667,40.35953333333334,0
Africa,1,4,15,11535,22,9,1,858,6,35,770,13,1964,46.9,25.522390476190477,17.465489406083467,31.86321904761905,15.735666666666667,35.76233333333334,0
Central and South-Eastern Europe and CIS,4,7,1,5926,47,8,3,6727,2,12,873,35,896,12.0,24.22308571428572,30.169359793122176,37.26531428571429,15.176666666666666,30.8222,0
Developed Economies and EU,1,5,20,1799,17,9,2,412,4,38,663,7,9465,8.5,30.113628571428574,17.27034131984627,21.538885714285716,13.293,24.1344,1
Developed Economies and EU,5,1,3,26274,11,7,5,1217,4,28,585,13,2327,13.1,20.29364761904762,24.47783349763548,38.855114285714286,13.700999999999999,20.814933333333336,1
Developed Economies and EU,3,6,7,40991,53,7,5,4896,5,49,895,18,6339,12.0,25.01419047619048,20.58805880588059,35.528085714285716,15.828666666666669,22.907399999999996,0
Developed Economies and EU,1,7,5,38253,38,5,5,3740,10,38,1199,13,1833,12.0,34.506400000000006,23.48836312202649,34.905857142857144,18.41466666666667,39.2796,0
Central and South-Eastern Europe and CIS,3,5,11,28126,42,2,5,4528,10,9,692,28,9820,13.1,17.9854380952381,17.82972582972583,20.381952380952384,19.34866666666667,19.142000000000003,0
Latin America and the Caribbean,1,3,20,18714,66,1,4,4896,3,27,406,27,683,13.1,18.733171428571428,9.216850256454217,26.401980952380953,9.677666666666667,36.7888,1
Latin America and the Caribbean,1,7,10,45461,64,1,3,954,4,11,509,31,2200,13.1,35.58768571428572,23.80713785664281,30.09589523809524,15.537666666666667,17.498666666666672,0
Central and South-Eastern Europe and CIS,5,7,17,24505,62,4,4,124,6,14,1320,31,9254,46.9,23.126466666666666,26.867643907247867,30.146999999999995,15.317,23.081666666666667,1
Developed Economies and EU,5,8,18,7002,55,9,1,9665,5,9,226,10,2544,51.8,36.761276190476195,17.797765490834795,38.15134285714286,15.371000000000002,15.55406666666667,0
Developed Economies and EU,4,5,13,1056,59,7,3,9811,6,31,285,16,2306,12.0,29.990628571428573,19.989627534181988,28.53430476190476,19.698666666666668,26.966666666666672,0
Latin America and the Caribbean,4,8,7,31675,29,10,1,550,7,10,1401,24,2735,51.8,38.889133333333334,21.43804380438044,29.57894285714286,15.257666666666669,30.858,0
Asia-Pacific,3,5,4,2945,29,2,3,395,1,30,447,18,6676,18.0,19.621990476190476,15.940308316545943,37.22522857142858,17.63133333333333,27.587600000000002,0
Latin America and the Caribbean,5,7,6,7656,46,3,5,716,4,1,549,12,8885,8.5,24.991095238095237,9.354035403540356,25.01999047619048,9.193333333333333,19.6732,0
Asia-Pacific,3,7,14,20716,62,2,3,195,1,58,772,15,8591,13.1,27.440171428571425,13.958467275298961,30.692333333333334,12.135666666666667,44.99253333333333,0
Central and South-Eastern Europe and CIS,2,9,23,43175,34,6,4,751,9,17,795,7,3331,13.1,22.79832380952381,21.66605231951767,18.397161904761905,13.348666666666666,20.387466666666672,0
Central and South-Eastern Europe and CIS,1,3,18,9995,60,4,5,327,10,16,245,9,2271,46.9,36.17257142857143,19.095323818096094,22.058390476190475,17.62166666666667,35.14260000000001,1
Middle East,3,7,2,9301,17,4,4,433,3,37,307,30,8742,18.0,39.009819047619054,17.740916948837743,35.19958095238095,14.503000000000002,31.358066666666673,0
Latin America and the Caribbean,5,1,19,40743,56,6,4,742,7,18,552,11,35,8.5,33.41198095238096,21.578729301501582,29.52722857142857,27.046999999999997,26.240333333333332,0
Middle East,4,5,13,34914,54,7,2,469,1,2,476,22,455,13.1,32.08780000000001,20.785864300715783,34.75815238095238,9.771,13.847266666666666,0
Latin America and the Caribbean,1,8,14,43992,49,5,3,6938,8,37,1449,25,6003,46.9,35.58644761904762,22.169816981698172,30.988219047619047,16.114000000000004,20.514533333333336,0
Middle East,3,8,16,38421,31,1,3,601,5,44,835,6,9501,51.8,24.177771428571432,21.726344062977727,27.300476190476193,15.84066666666667,11.111000000000002,0
Central and South-Eastern Europe and CIS,2,7,15,39255,45,6,1,1520,6,23,607,4,4033,18.0,29.545504761904763,25.847270441329844,28.6596,16.353666666666665,36.967733333333335,0
Asia-Pacific,2,10,3,20402,15,3,4,9761,1,56,801,34,6072,51.8,27.44321904761905,14.243867243867244,21.971847619047622,17.267666666666667,29.307999999999996,0
Latin America and the Caribbean,4,3,1,23346,61,5,1,2572,1,17,227,39,769,18.0,36.65489523809524,17.24029545811724,22.983933333333333,7.198333333333333,27.179666666666662,1
Asia-Pacific,5,5,2,40652,23,4,1,801,4,21,308,31,8498,18.0,24.45095238095238,25.722257940079725,25.175914285714285,10.775333333333332,19.739266666666666,0
Developed Economies and EU,5,5,6,44145,42,10,1,7679,5,20,462,1,2901,51.8,31.037180952380954,16.99162773420199,11.960199999999999,18.60733333333333,31.194066666666664,1
Developed Economies and EU,4,10,18,36094,60,8,2,405,8,26,19,10,1597,13.1,33.390457142857144,20.516865972311518,34.50465714285715,17.928,17.216866666666668,0
Central and South-Eastern Europe and CIS,2,7,1,47433,24,5,5,384,10,48,349,1,8892,18.0,17.290542857142857,24.752232366093754,16.30382857142857,18.497,29.251333333333335,0
Developed Economies and EU,1,3,1,13790,28,10,4,7305,4,36,158,18,3626,13.1,30.440733333333338,20.076321917906075,30.963304761904766,18.035666666666668,27.97746666666667,1
Africa,3,4,3,16320,49,4,1,101,6,47,432,22,269,13.1,21.84735238095238,10.690911948337693,21.411628571428572,9.943333333333335,24.139666666666667,0
Africa,4,5,5,33934,55,10,3,536,4,38,890,24,2133,46.9,24.03601904761905,17.07652193790808,19.076999999999998,16.785666666666664,19.330933333333334,1
Latin America and the Caribbean,2,3,20,26927,25,7,3,526,10,19,664,1,7722,8.5,22.99329523809524,30.619561956195618,42.10261904761905,15.076333333333336,20.80833333333333,0
Middle East,2,3,23,6651,42,6,2,4313,10,41,985,21,3488,12.0,23.882495238095238,17.14532881859615,24.974733333333333,19.313333333333336,26.1334,0
Latin America and the Caribbean,2,3,10,26550,67,9,4,805,7,44,1155,23,8144,46.9,34.15770476190476,13.822167931078821,34.4226,17.925666666666668,23.504800000000003,0
Africa,5,6,21,27562,21,5,5,6884,7,58,688,2,3460,18.0,22.191990476190476,15.767605331961768,32.31547619047619,22.228333333333335,28.20386666666667,0
Asia-Pacific,5,10,10,19941,47,2,1,578,1,11,330,14,643,13.1,25.21966666666667,18.467518180389465,18.564733333333333,7.475333333333333,22.799533333333333,0
Asia-Pacific,3,6,13,27478,63,10,2,9491,4,13,1246,36,808,8.5,26.72232380952381,21.302501678739304,23.79621904761905,12.268,27.94766666666667,0
Developed Economies and EU,2,2,24,4877,51,8,2,432,6,59,727,7,3542,8.5,37.178876190476196,9.5000500050005,31.84169523809524,13.303666666666667,15.480933333333336,0
Middle East,5,8,4,29989,57,5,1,795,1,43,737,17,2852,18.0,33.67107619047619,32.82566828111383,27.21400952380952,6.9526666666666666,16.71526666666667,1
Africa,3,6,24,39186,56,2,4,662,10,13,137,38,9250,8.5,32.28485714285714,14.667323875244668,31.757400000000004,12.512,22.052000000000003,0
Africa,1,1,20,8608,56,3,5,166,3,46,627,6,146,13.1,13.691219047619049,19.03067449602103,21.275057142857147,12.57366666666667,28.781266666666667,0
Africa,2,2,12,37417,17,10,2,4853,2,48,337,24,3465,12.0,21.277676190476193,14.485519980569483,22.27335238095238,14.49,25.770466666666664,0
Middle East,4,7,22,3553,24,6,3,200,10,7,6,33,6695,46.9,20.0284,34.2991013387053,30.137819047619047,14.57866666666667,31.803933333333333,0
Central and South-Eastern Europe and CIS,2,1,13,22327,51,3,3,282,9,38,610,23,658,51.8,36.14734285714286,16.731230265883735,38.941180952380954,5.8726666666666665,25.362999999999996,0
Developed Economies and EU,5,7,1,15487,27,2,1,6733,10,41,1141,12,5857,12.0,32.577895238095245,13.606746388924606,22.975714285714282,15.252666666666666,27.10806666666667,0
Middle East,2,1,8,32984,56,9,1,331,7,9,736,31,3244,12.0,34.69129523809524,22.235037789493234,25.567295238095237,18.201666666666668,20.030733333333337,0
Asia-Pacific,5,5,4,44185,24,9,1,804,8,3,1488,40,3063,8.5,30.41214285714286,16.95915305816296,28.460542857142855,21.703000000000003,36.15820000000001,0
Developed Economies and EU,5,4,1,1814,21,8,5,858,1,10,912,29,3442,18.0,38.268,22.404540454045403,29.543876190476194,16.414666666666665,30.378333333333334,0
Middle East,1,8,21,17310,52,6,5,2307,2,15,1233,29,1281,12.0,29.70167619047619,15.437729487234442,33.58206666666666,11.587333333333333,24.88153333333333,1
