Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Middle East,4,2,13,19014,20,9,5,2504,2,55,643,8,3723,13.1,23.266200000000005,23.693683654079695,15.787019047619049,10.588666666666667,26.886133333333333,1
Middle East,5,10,18,31607,54,5,1,817,2,7,1188,30,9245,18.0,18.655085714285715,15.242809995285246,26.8147619047619,9.827000000000002,25.56426666666666,1
Developed Economies and EU,3,5,11,873,29,1,3,656,2,46,859,17,9707,12.0,33.14140952380953,9.106939265355107,20.408485714285717,19.444,24.609133333333332,0
Latin America and the Caribbean,1,5,2,29153,18,10,1,305,7,52,519,2,111,12.0,24.814276190476185,17.82892574971783,24.032133333333334,14.539333333333335,19.575533333333333,0
Africa,5,10,12,36839,41,9,1,363,9,54,374,16,5908,18.0,28.52532380952381,17.696226765533698,24.2192,12.204999999999998,29.71986666666667,0
Asia-Pacific,1,4,17,23618,31,1,1,894,10,48,1469,24,1293,8.5,19.76002857142857,26.917134570599917,36.948,5.504666666666667,26.873733333333334,0
Developed Economies and EU,5,3,24,44999,26,5,4,329,7,5,622,3,4294,18.0,25.625590476190478,19.760447473318766,24.679552380952387,19.111,22.1488,0
Africa,3,5,10,27965,65,7,5,397,1,18,170,7,5580,8.5,29.62226666666667,17.06026316917406,18.329333333333334,18.581,19.1282,0
Latin America and the Caribbean,1,3,17,775,11,2,5,469,9,36,563,16,907,13.1,23.22871428571429,27.35234952066635,20.168266666666668,17.741,33.08446666666667,0
Central and South-Eastern Europe and CIS,5,1,8,21508,15,8,2,295,6,4,1063,36,9527,18.0,26.154771428571426,10.629591530581632,25.43031428571429,18.128000000000004,36.39933333333334,0
Latin America and the Caribbean,1,6,7,20309,39,4,1,905,4,57,222,4,7834,18.0,20.856323809523815,20.006043461489003,23.961304761904763,21.986666666666665,27.564533333333337,0
Central and South-Eastern Europe and CIS,5,7,8,36986,28,8,4,447,4,30,546,10,1189,13.1,31.645,20.05994885202806,29.69887619047619,10.371333333333332,24.085800000000006,0
Africa,3,5,2,16047,56,7,4,3790,1,37,1090,22,1475,51.8,27.979847619047614,11.570585629991573,36.154495238095244,10.678,36.025933333333334,0
Central and South-Eastern Europe and CIS,1,6,12,10447,39,9,1,8249,2,34,427,12,9249,51.8,29.242704761904765,17.892846427499894,30.461895238095238,15.579,27.3802,0
Middle East,3,4,2,47844,33,10,1,935,5,17,1080,25,2814,18.0,31.812228571428573,21.134570599917136,24.35909523809524,20.273666666666667,20.27406666666667,0
Africa,2,3,10,37426,46,3,2,914,10,20,717,2,3333,13.1,27.56509523809524,16.209806694955212,27.924961904761908,18.026,28.6834,0
Developed Economies and EU,3,10,18,36743,36,3,5,521,8,16,68,5,6642,8.5,37.573104761904766,20.1977483462632,32.81950476190476,14.163999999999998,27.539400000000004,0
Middle East,4,9,9,19467,49,10,2,762,4,26,903,37,2989,18.0,34.429771428571435,17.91030531624591,23.943704761904762,14.847000000000001,18.57046666666667,0
Middle East,4,9,2,3719,29,1,5,8680,10,42,961,1,8584,51.8,25.632228571428573,13.457360021716456,27.77498095238095,10.298666666666668,24.887600000000003,0
Latin America and the Caribbean,3,10,16,33720,35,3,3,517,9,8,14,34,2940,12.0,27.93875238095238,17.708470847084712,33.222790476190475,17.54966666666667,17.037000000000003,0
Developed Economies and EU,5,9,15,29041,48,7,3,869,9,29,254,5,1470,18.0,23.28161904761905,14.689383224036687,19.778685714285714,10.490666666666666,25.274800000000003,0
Asia-Pacific,2,1,22,2009,57,7,1,313,4,9,1025,23,2664,51.8,32.041809523809526,20.080322317946088,22.854761904761904,4.9670000000000005,36.666,0
Asia-Pacific,4,4,18,236,49,5,1,306,8,17,736,29,6054,46.9,25.255657142857146,19.133956252768137,26.61330476190476,16.792666666666666,20.139000000000003,0
Developed Economies and EU,4,2,3,4430,17,2,3,562,10,26,868,19,1597,18.0,22.092638095238097,28.198148386267196,40.33921904761905,12.738333333333335,14.822866666666664,0
Middle East,1,5,24,27386,69,8,4,7677,10,1,1013,7,3127,8.5,28.12366666666667,26.373065878016373,16.531790476190476,17.845666666666666,22.916733333333333,0
Latin America and the Caribbean,3,1,22,5807,45,10,3,189,5,57,1106,40,8506,13.1,21.386742857142856,14.588901747317587,25.51517142857143,11.572666666666667,35.98153333333334,0
Central and South-Eastern Europe and CIS,3,4,12,394,51,8,4,794,3,29,896,29,3275,51.8,34.24697142857143,22.275184661323273,23.047847619047623,21.971,30.477733333333333,0
Middle East,2,6,13,35387,19,5,2,6217,3,15,870,19,8740,12.0,28.290676190476194,14.529624391010529,29.34040952380953,17.815333333333335,30.793266666666668,0
Middle East,2,9,17,27459,10,6,3,244,7,29,314,23,2380,13.1,19.488057142857144,17.572742988584576,19.77987619047619,10.727333333333334,28.745533333333334,0
Middle East,2,5,15,38680,31,3,5,875,6,29,184,12,6331,13.1,24.375466666666668,23.335647850499335,19.25299047619048,10.871333333333332,26.711133333333336,0
Middle East,3,8,19,41330,20,4,4,765,5,21,989,13,3817,8.5,36.32067619047619,25.523638078093526,26.61453333333334,8.694666666666667,26.269266666666667,0
Latin America and the Caribbean,2,8,24,49629,17,3,4,135,3,47,868,33,7516,46.9,28.945533333333334,11.355035503550358,27.566542857142856,20.561,37.34726666666667,0
Middle East,4,4,9,37322,12,4,3,983,5,21,998,28,2905,18.0,42.652104761904766,21.202220222022202,38.73240952380952,14.749666666666666,23.907133333333334,0
Central and South-Eastern Europe and CIS,5,5,18,37735,26,5,4,582,8,23,1314,11,2462,51.8,28.824133333333336,26.458817310302464,28.46825714285714,15.309333333333337,28.793866666666666,0
Middle East,4,5,19,27035,41,1,3,990,5,19,1276,10,749,13.1,36.43357142857143,18.84661323275185,17.842228571428574,20.574666666666666,31.43146666666667,0
Africa,1,8,10,18608,28,2,1,283,3,6,123,16,6637,12.0,18.091066666666666,22.750417898932753,28.197266666666664,22.754333333333335,38.27306666666667,0
Asia-Pacific,5,7,16,5963,35,1,4,8947,8,16,66,34,1180,46.9,23.13133333333333,17.426514079979427,23.663342857142858,19.181666666666665,20.895133333333334,0
Central and South-Eastern Europe and CIS,4,1,16,35121,12,9,2,5551,3,4,1337,10,2314,8.5,34.69801904761905,20.341334133413337,21.77337142857143,7.394666666666668,26.589466666666667,1
Latin America and the Caribbean,1,1,1,26682,24,10,3,8645,5,1,1291,35,5428,8.5,20.283238095238097,21.483819810552486,23.37081904761905,13.094999999999999,24.093866666666663,0
Africa,5,4,12,49006,13,3,2,369,8,4,1083,6,695,46.9,20.3978,13.645750289314645,20.953904761904763,18.329333333333338,26.7322,0
Central and South-Eastern Europe and CIS,1,7,16,47792,65,2,5,7899,2,7,872,40,531,8.5,19.97267619047619,7.721229265783723,37.82984761904763,6.077000000000001,14.039600000000002,0
Africa,1,1,7,16898,54,2,3,988,8,38,1407,4,5363,46.9,31.679666666666666,18.534467732487535,33.1658761904762,17.930333333333333,30.92226666666667,0
Latin America and the Caribbean,4,8,12,38319,64,2,5,4137,5,54,1098,6,9170,46.9,25.157114285714293,12.65120797794065,25.523028571428576,12.748666666666669,21.08106666666667,0
Middle East,5,5,19,6193,24,7,4,975,3,40,30,38,2278,8.5,27.441619047619053,23.168331118826167,27.078038095238092,17.318333333333335,19.3794,0
Middle East,3,9,23,3087,34,1,2,5662,4,41,980,11,6773,51.8,34.71737142857143,15.513365622276515,30.72407619047619,9.136000000000001,27.0606,0
Central and South-Eastern Europe and CIS,3,7,3,28123,57,2,2,7799,6,17,24,31,5597,13.1,18.391733333333335,25.37803780378038,32.57870476190477,17.31166666666667,19.163866666666667,1
Latin America and the Caribbean,5,2,11,12606,12,10,5,4368,5,57,494,7,585,46.9,28.269285714285715,25.790921949337793,32.92949523809524,18.685333333333336,22.161200000000004,0
Middle East,2,2,8,27913,37,2,2,7172,5,60,1075,18,2080,46.9,38.21028571428572,14.155486977269158,20.60974285714286,10.918000000000001,28.187733333333338,0
Asia-Pacific,3,9,13,5468,65,7,4,678,10,29,446,39,7022,8.5,32.48690476190477,18.60347463317761,22.325438095238095,11.335,33.55773333333334,1
Developed Economies and EU,2,5,4,21209,30,1,1,3131,1,1,158,16,6579,51.8,28.128152380952383,22.135027788493137,26.565819047619048,10.185666666666666,13.412533333333332,0
Central and South-Eastern Europe and CIS,5,8,14,42587,24,6,2,464,6,45,1237,38,2456,12.0,29.40592380952381,27.48822025059649,26.755628571428574,14.518,32.6588,0
Middle East,4,3,9,7198,51,8,4,3960,8,4,861,23,9142,46.9,32.338590476190475,28.19013329904419,28.294866666666667,23.352000000000007,28.383333333333333,0
Asia-Pacific,4,5,11,10154,25,4,5,224,4,22,820,16,7987,13.1,34.234123809523815,29.296701098681293,23.516361904761908,15.050666666666668,23.860333333333333,1
Latin America and the Caribbean,1,9,19,5895,56,6,1,9071,1,33,92,3,6334,46.9,29.349009523809528,33.53012444101553,39.48261904761905,9.334000000000001,13.064,0
Africa,5,6,9,34135,24,5,4,494,8,55,1353,12,9206,8.5,36.50315238095238,26.951923763804952,23.211438095238098,20.67466666666667,32.245200000000004,0
Central and South-Eastern Europe and CIS,4,5,9,11237,57,4,4,210,3,36,346,7,7808,8.5,24.385809523809524,10.734444873058735,28.142190476190482,6.3196666666666665,28.338800000000003,0
Central and South-Eastern Europe and CIS,3,2,21,39286,11,5,3,662,6,13,172,16,2237,8.5,28.396057142857146,30.930793079307932,27.971914285714284,13.551333333333334,31.253733333333333,0
Middle East,4,3,7,15511,12,4,3,6581,9,49,1244,15,1618,51.8,26.528304761904764,24.266255196948265,18.344409523809524,10.800333333333334,19.6084,0
Latin America and the Caribbean,3,1,22,41750,29,3,2,6278,3,15,109,23,8521,8.5,33.02162857142857,15.626248339119625,36.70070476190477,22.401666666666667,30.064,0
Asia-Pacific,5,10,23,18534,38,6,2,348,1,4,891,36,714,13.1,20.292876190476193,21.43608646578944,10.975066666666667,26.961333333333336,32.034000000000006,0
Asia-Pacific,5,3,24,14015,22,2,1,325,4,3,820,40,1090,12.0,30.570009523809528,15.5969739831126,23.498761904761906,4.078333333333333,14.295133333333334,0
Asia-Pacific,3,10,9,21605,44,4,4,923,2,47,1393,6,4626,12.0,27.407485714285716,20.557370022716558,28.7052,18.495666666666665,32.5026,0
Middle East,2,5,17,21341,22,8,5,265,4,12,1236,13,4373,8.5,25.720447619047622,14.125483976969125,24.093885714285715,6.853000000000001,22.628,0
Asia-Pacific,5,9,21,2871,38,4,4,7900,8,31,277,28,6490,51.8,19.29884761904762,23.72807280728073,28.657142857142855,17.919333333333334,31.92973333333334,0
Asia-Pacific,5,8,9,10735,31,6,5,2901,2,35,327,9,4799,12.0,30.146314285714286,15.887460174588885,18.318704761904765,14.652000000000001,36.92580000000001,0
Africa,4,3,5,11531,29,3,2,970,6,25,253,37,2431,46.9,23.288723809523816,27.573957395739573,26.47781904761905,17.454000000000004,36.138933333333334,0
Latin America and the Caribbean,4,6,13,20050,49,1,3,3000,2,60,210,22,4476,18.0,32.14328571428572,17.037475176089036,18.194142857142857,19.399,16.346333333333334,0
Africa,3,4,9,31290,20,10,4,347,5,48,434,23,3832,18.0,24.950323809523812,18.365036503650366,25.369609523809526,22.977666666666664,30.29566666666667,0
Developed Economies and EU,5,3,10,19928,48,5,2,2560,8,4,993,18,1165,18.0,12.56875238095238,17.260340319746263,19.76462857142857,21.272333333333336,25.717333333333336,0
Africa,3,5,9,577,22,7,3,920,10,16,1112,10,2588,51.8,20.617238095238097,12.987784492734988,27.60844761904762,5.913666666666666,24.98886666666667,0
Latin America and the Caribbean,5,5,12,17930,41,6,1,246,5,54,200,15,40,8.5,22.046790476190477,17.75791864900776,25.833000000000002,17.74066666666667,24.612666666666673,0
Asia-Pacific,4,3,2,41769,28,1,2,314,6,27,6,13,6459,18.0,14.7372,10.124012401240122,26.35984761904762,14.199666666666666,20.988200000000003,0
Asia-Pacific,5,5,2,17420,65,5,5,9232,5,15,1449,25,5245,13.1,32.53354285714286,14.92687840212593,21.53128571428572,22.122666666666667,19.704933333333337,0
Africa,4,5,22,9112,68,5,2,874,9,13,1265,30,1077,8.5,29.99324761904762,22.419727687054422,25.462580952380957,17.101333333333336,19.86726666666667,0
Middle East,1,6,5,46794,43,10,5,9467,4,53,964,23,9314,46.9,15.979152380952383,16.285342819996284,23.273238095238096,12.855,34.22813333333334,0
Africa,1,4,5,18606,54,4,1,1347,1,28,516,14,9538,8.5,36.697,11.954309716685954,35.713104761904766,13.558333333333334,13.999333333333333,0
Asia-Pacific,1,9,3,29171,12,8,2,358,5,43,859,33,5428,18.0,38.94551428571429,18.5005214807195,15.01615238095238,15.369,14.807400000000001,0
Africa,2,4,5,7257,63,4,5,251,1,31,1382,28,7863,12.0,18.14346666666667,21.61048962039061,25.85206666666667,16.510333333333335,27.96926666666667,0
Developed Economies and EU,2,5,12,21002,62,3,2,4595,6,23,834,7,1543,13.1,25.42437142857143,13.894932350377895,32.400333333333336,16.095000000000002,28.44726666666667,0
Latin America and the Caribbean,3,1,22,35734,61,4,3,5299,10,33,699,27,2537,18.0,32.22568571428572,12.984612746988985,29.858914285714288,14.745666666666665,18.163333333333334,0
Middle East,1,10,10,32102,40,4,2,313,1,19,1156,5,7895,8.5,30.455047619047626,31.864157844355866,36.864561904761906,2.873,33.27946666666667,0
Asia-Pacific,4,4,9,46639,59,2,3,9909,3,11,480,6,6491,13.1,34.3794761904762,19.124169559813126,25.754628571428572,9.906333333333334,28.248266666666666,0
Middle East,3,3,11,42238,39,9,4,532,7,17,905,9,1242,8.5,22.112361904761904,10.067163859243067,29.060761904761907,17.147333333333336,22.1766,0
Latin America and the Caribbean,2,10,16,26144,68,4,5,589,10,27,1415,9,1897,18.0,22.66126666666667,12.420727787064422,28.411961904761906,12.555666666666667,12.497466666666666,0
Central and South-Eastern Europe and CIS,2,9,12,44049,17,3,3,438,4,15,467,11,6833,12.0,34.46822857142857,15.27881359564528,34.03642857142858,9.365666666666666,22.868266666666663,0
Middle East,3,3,14,12233,36,8,2,4283,4,38,933,31,6150,51.8,25.391714285714283,24.241938479562243,25.50104761904762,15.338333333333335,39.273066666666665,0
Asia-Pacific,2,5,6,15447,67,2,1,692,1,6,891,11,2572,51.8,29.61744761904762,25.547040418327544,25.898828571428574,9.486,21.245333333333335,1
Middle East,3,8,24,36675,48,4,1,1304,3,12,985,29,1427,46.9,38.516847619047624,13.04016115897304,31.995723809523813,11.358666666666668,25.570333333333334,0
Central and South-Eastern Europe and CIS,1,5,1,38347,52,5,5,8833,9,32,1009,17,108,46.9,21.882485714285714,20.097938365265097,24.455657142857145,19.165333333333333,30.853133333333332,1
Asia-Pacific,2,4,6,15204,27,10,1,142,1,51,1480,35,9785,18.0,19.800038095238097,23.16521652165217,23.817980952380953,11.565666666666669,33.27686666666667,0
Asia-Pacific,5,6,8,9391,24,4,2,333,4,13,976,40,6538,13.1,32.904247619047624,22.048290543340045,32.025914285714286,7.1419999999999995,22.37973333333333,0
Developed Economies and EU,2,5,23,38925,67,8,3,206,6,55,1273,40,9680,8.5,34.113,21.4962067635335,20.409561904761905,12.007666666666667,32.580400000000004,0
Latin America and the Caribbean,3,2,14,3959,41,4,4,807,1,47,227,37,5039,13.1,35.80818095238095,28.033160458903033,20.822752380952384,14.837666666666669,41.123200000000004,0
Developed Economies and EU,2,3,2,10991,30,10,2,43,2,41,1073,6,2425,8.5,23.152847619047616,21.481533867672482,30.551666666666666,14.604999999999999,21.173066666666664,0
Africa,3,3,7,28139,33,6,5,5652,10,24,792,34,7611,46.9,40.90946666666667,21.461903333190467,29.34305714285714,12.683333333333335,21.786733333333334,0
Latin America and the Caribbean,2,5,20,23334,20,8,3,913,2,41,1090,27,1937,13.1,25.261695238095243,22.28918606146329,32.7386,8.772333333333334,26.420533333333335,0
Africa,4,6,14,10844,19,1,1,373,6,41,608,2,8459,18.0,14.182380952380955,20.859928850027863,28.520590476190478,12.788666666666668,25.721999999999994,1
Latin America and the Caribbean,2,5,11,18503,64,10,4,990,2,57,1307,12,9770,46.9,33.980723809523816,27.125341105539125,38.397,20.013333333333332,33.77006666666667,0
Africa,2,5,14,4872,33,1,4,7846,4,16,1053,2,8007,12.0,31.70429523809524,33.99499949995,16.10378095238095,12.540666666666667,28.320733333333337,1
Asia-Pacific,4,10,13,33957,69,2,1,3212,6,30,496,32,395,46.9,32.66729523809524,27.178875030360178,29.428619047619055,19.131666666666668,17.642866666666666,1
Developed Economies and EU,3,4,18,38467,15,7,4,266,6,22,1185,4,2499,13.1,31.82768571428572,18.330504479019332,19.52585714285714,23.557000000000002,28.87313333333334,1
Latin America and the Caribbean,2,3,18,1767,24,4,1,498,8,27,1196,35,9483,46.9,32.83945714285715,12.738759590244738,29.86,11.498666666666667,26.803933333333337,0
Middle East,4,3,4,4980,55,7,2,289,8,17,1112,2,3037,51.8,34.79072380952382,27.891374851770895,24.514647619047622,8.789666666666667,20.83246666666667,0
Middle East,2,1,16,42297,24,10,4,5781,6,31,1414,9,5645,13.1,31.391485714285714,26.037032274656035,22.203857142857146,5.881666666666668,20.02726666666667,0
Central and South-Eastern Europe and CIS,5,5,12,20330,20,5,1,985,2,14,808,29,912,46.9,23.27281904761905,18.815395825296815,37.85351428571429,16.270000000000003,25.367933333333337,0
Middle East,5,6,20,2806,51,8,2,3140,9,31,696,9,1431,12.0,21.792800000000003,20.388195962453388,16.71865714285714,9.175333333333334,19.673666666666666,0
Africa,2,5,22,11420,58,2,3,806,6,43,1456,6,6417,12.0,23.89193333333333,14.576586230051577,24.386409523809522,6.936000000000001,12.001400000000002,0
Central and South-Eastern Europe and CIS,4,6,3,8707,53,2,4,148,8,54,1081,25,6208,13.1,29.520561904761905,29.761333276184764,31.290885714285714,13.621333333333332,22.562266666666662,1
Latin America and the Caribbean,3,4,17,41846,40,4,5,695,7,10,507,18,2896,46.9,32.75219047619047,11.243652936722244,15.528400000000001,9.164,28.75726666666667,0
Middle East,2,4,3,13769,42,5,4,4711,6,55,420,13,8100,13.1,21.62898095238095,6.316874544597317,18.991752380952384,10.914333333333335,18.873733333333334,0
Central and South-Eastern Europe and CIS,4,6,21,30309,32,1,4,4938,10,20,291,20,3686,18.0,29.176247619047622,32.161187547326165,18.024133333333335,5.132666666666666,19.76193333333333,0
Africa,5,3,7,15722,17,5,2,7946,3,31,1010,23,1348,46.9,27.058142857142858,15.31781749603532,23.77758095238095,27.622333333333337,33.692533333333344,0
Asia-Pacific,4,3,13,35434,62,4,3,973,4,8,1358,34,1437,13.1,35.93913333333334,22.564199277070568,26.05294285714286,14.141,31.594333333333335,0
Asia-Pacific,1,10,3,19035,36,2,4,6168,6,25,1059,27,6920,8.5,36.584495238095236,13.20717786064321,26.03894285714286,15.941666666666668,19.084933333333336,0
Central and South-Eastern Europe and CIS,1,1,2,31784,22,7,4,283,9,2,1463,23,9132,18.0,36.26439047619048,24.099438515280102,28.50367619047619,16.591,25.935333333333332,0
Central and South-Eastern Europe and CIS,4,5,14,19870,27,8,3,1913,5,57,1218,29,2453,46.9,27.977952380952388,10.315874444587317,39.72080952380953,18.188333333333333,24.824,0
Latin America and the Caribbean,1,1,23,871,34,10,2,2805,10,51,1029,23,786,46.9,29.54023809523809,28.634820624919637,33.761876190476194,10.684333333333335,32.39506666666667,0
Africa,4,1,15,7761,15,9,2,4658,2,44,923,30,2588,12.0,31.211314285714288,14.968468275398969,44.58956190476191,20.92866666666667,37.68906666666667,0
Middle East,4,1,8,47712,46,1,3,935,5,10,1055,10,3084,12.0,37.2326,14.165016501650163,37.24394285714286,13.599333333333332,37.99466666666667,1
Africa,5,7,20,4481,30,10,1,284,2,12,462,17,5960,51.8,30.322438095238102,27.12548397696913,29.131171428571427,21.669,30.363399999999995,0
Latin America and the Caribbean,5,1,18,44416,35,3,1,2937,7,44,1335,19,2347,12.0,34.889133333333334,20.606060606060606,17.869247619047623,12.232666666666665,16.637200000000004,0
Central and South-Eastern Europe and CIS,4,6,5,30765,49,3,1,290,5,10,1245,6,6815,46.9,23.24138095238095,12.867758204391869,36.54732380952381,23.672,17.578466666666667,0
Asia-Pacific,1,1,17,1438,15,10,3,8477,8,19,728,21,7667,13.1,26.047638095238096,21.3976683382624,25.893371428571427,14.959333333333333,22.567733333333333,0
Africa,4,1,7,41992,14,5,2,649,10,2,513,27,2989,13.1,25.415095238095237,14.83061163259183,28.87563809523809,6.2040000000000015,24.0052,0
Developed Economies and EU,1,4,4,28303,12,1,5,355,1,23,450,34,7491,51.8,26.596733333333333,11.34034832054634,24.262333333333338,13.039333333333333,30.04433333333334,1
Developed Economies and EU,1,4,9,385,42,9,5,1141,1,9,850,3,4795,46.9,33.76685714285714,19.964396439643966,23.96952380952381,18.145333333333337,23.2122,0
Latin America and the Caribbean,3,5,6,10305,50,10,2,929,7,18,858,30,4627,46.9,26.390666666666668,23.834754904061835,33.773942857142856,21.992,18.775266666666667,0
