Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Middle East,1,3,16,39634,15,9,5,798,2,6,509,22,6673,46.9,25.493685714285714,15.172331518866175,15.88826666666667,12.533000000000003,24.41226666666667,0
Central and South-Eastern Europe and CIS,5,10,17,718,44,7,5,750,4,19,250,4,7698,8.5,23.171685714285715,20.07402168788308,32.32169523809524,21.507333333333335,15.859466666666666,0
Developed Economies and EU,2,10,1,39869,49,8,5,9234,2,59,811,29,282,8.5,32.0518,23.302830283028307,25.226733333333335,19.607000000000003,20.8216,0
Middle East,4,8,4,48690,63,7,1,5237,1,17,450,21,787,46.9,37.555304761904765,25.312416955981316,22.577342857142856,16.34,33.96993333333334,0
Middle East,1,3,4,20375,68,7,1,429,2,40,837,27,939,51.8,31.588209523809525,11.67922506536368,20.766314285714284,18.122333333333334,24.695,0
Central and South-Eastern Europe and CIS,3,1,14,28412,50,6,2,6903,6,25,1023,13,3291,18.0,31.368380952380953,15.389353221036389,29.884771428571426,21.786000000000005,32.51653333333333,1
Latin America and the Caribbean,5,2,1,33913,22,4,1,2957,1,18,799,16,7026,51.8,19.974361904761906,11.811238266683812,25.947514285714284,6.559333333333334,31.12153333333334,0
Developed Economies and EU,3,4,1,18276,52,5,3,192,5,34,178,14,5632,18.0,23.002561904761905,23.61606160616062,19.914466666666666,19.398,31.281000000000002,0
Latin America and the Caribbean,5,9,23,28542,20,10,5,7082,7,26,837,36,7476,8.5,30.912038095238103,26.964696469646967,25.187638095238096,13.265333333333334,28.44493333333333,0
Central and South-Eastern Europe and CIS,5,8,23,19505,14,2,5,807,9,9,1205,32,7778,51.8,28.893914285714285,21.359550240738358,22.384295238095238,18.793333333333333,27.5558,0
Asia-Pacific,5,5,12,29402,50,8,1,2574,3,40,240,25,8148,51.8,32.506723809523805,25.410041004100414,24.389390476190478,6.869666666666667,18.697466666666664,0
Africa,4,7,5,46638,48,9,5,2909,3,49,738,27,1105,18.0,21.078590476190477,20.309502378809313,26.726790476190477,16.50866666666667,34.97533333333334,0
Middle East,4,7,13,39053,60,1,3,689,2,36,722,11,7145,12.0,42.37119047619047,14.602060206020603,25.541999999999998,23.485333333333333,30.00946666666667,1
Central and South-Eastern Europe and CIS,5,1,8,44656,43,4,2,936,10,45,1240,40,3982,8.5,23.520076190476193,10.556584229851557,20.508380952380957,16.247333333333337,31.619733333333333,1
Asia-Pacific,5,3,2,48674,32,2,4,4205,10,16,598,16,9208,18.0,27.843447619047616,27.866472361521865,24.248514285714286,11.86566666666667,21.055733333333333,0
Central and South-Eastern Europe and CIS,3,6,3,45078,38,9,1,120,6,14,1331,32,1630,12.0,19.311790476190474,17.704327575614705,32.54152380952382,15.058666666666667,24.574666666666666,0
Latin America and the Caribbean,2,1,17,20674,53,6,4,8509,3,56,762,15,7912,18.0,29.9792380952381,19.997199719972,23.144828571428572,12.892000000000001,25.934466666666673,1
Latin America and the Caribbean,3,7,21,30984,44,9,4,554,7,43,867,39,6638,46.9,17.753885714285715,16.559213064163558,28.303780952380954,11.360999999999999,20.5246,0
Asia-Pacific,2,8,14,24984,46,3,2,359,1,19,1100,32,9332,8.5,22.459342857142857,13.52152358092952,32.511571428571436,11.124333333333334,35.44146666666667,0
Africa,2,8,4,40079,65,1,1,190,8,4,106,15,7226,18.0,28.845342857142857,16.178489277499178,25.403714285714287,17.326666666666668,33.55093333333334,0
Central and South-Eastern Europe and CIS,5,8,21,44163,68,6,3,539,5,54,206,20,5018,46.9,25.36654285714286,23.681725315388686,15.60475238095238,21.321333333333335,31.737000000000005,0
Central and South-Eastern Europe and CIS,2,2,13,17153,45,4,5,117,8,57,343,7,7132,18.0,26.929761904761907,11.587358735873588,28.840438095238095,16.02,29.519599999999997,0
Middle East,3,10,23,38230,30,4,2,3919,4,45,886,40,1578,8.5,24.991857142857143,13.89077479176489,16.1730380952381,12.501333333333337,27.867866666666668,0
Asia-Pacific,5,5,1,36248,58,6,5,1225,3,4,1187,17,7017,8.5,29.801657142857145,18.249524952495253,25.76546666666667,13.447000000000001,34.77133333333334,0
Middle East,3,9,10,24734,60,10,4,621,2,54,1367,22,5184,8.5,25.217228571428574,18.27902790279028,20.2786,15.334999999999999,26.276333333333334,0
Latin America and the Caribbean,3,1,13,28678,49,8,3,2561,9,33,1170,38,4465,51.8,31.9428761904762,16.843612932721843,27.89995238095238,18.992333333333335,18.782533333333333,0
Latin America and the Caribbean,1,10,15,31381,20,4,1,512,5,17,678,3,3182,18.0,28.31992380952381,20.562084779906563,27.50315238095238,10.181666666666667,23.053933333333333,0
Middle East,4,3,16,35471,62,7,1,6713,9,16,757,29,8819,18.0,31.11197142857143,20.68691154829769,22.0972,16.60066666666667,20.274533333333338,0
Asia-Pacific,5,9,14,48980,31,3,3,519,4,33,367,13,9454,51.8,21.536771428571427,20.715314388581714,26.560114285714292,14.240666666666668,24.37793333333333,0
Asia-Pacific,3,9,17,3429,16,7,5,2206,10,46,1426,4,3878,18.0,20.693828571428575,24.86777249153487,23.676561904761904,15.616,26.006800000000002,1
Latin America and the Caribbean,4,2,11,32119,12,4,2,433,2,47,877,19,2859,8.5,29.313228571428574,18.162173360193165,20.53801904761905,15.075333333333335,23.305933333333336,0
Developed Economies and EU,5,5,14,7755,70,4,3,281,3,41,1291,6,8165,13.1,23.166780952380954,25.861443287185864,15.336247619047619,11.764666666666667,34.4664,0
Africa,5,1,17,28462,22,8,3,3780,10,42,279,13,7195,13.1,32.90652380952381,23.26254053976826,26.652580952380955,18.179000000000002,31.289733333333338,1
Asia-Pacific,1,8,2,21146,56,8,4,8347,10,25,1396,23,9146,13.1,32.33316190476191,23.737073707370737,29.55302857142858,17.145666666666667,24.905066666666666,0
Central and South-Eastern Europe and CIS,5,1,5,31008,45,2,1,479,7,60,115,10,6886,13.1,24.09541904761905,25.886974411726886,30.30933333333333,12.636666666666668,16.91306666666667,0
Latin America and the Caribbean,4,2,18,43926,31,1,4,960,2,52,310,30,5573,8.5,22.70629523809524,16.309902418813312,39.990476190476194,13.733999999999998,39.67413333333334,1
Asia-Pacific,5,4,10,37898,20,1,1,509,1,1,769,17,2614,46.9,31.01054285714286,17.404511879759404,27.971866666666667,16.87333333333334,35.1946,0
Middle East,4,5,11,24566,34,6,2,652,8,22,1392,20,9234,8.5,19.111114285714287,13.06879259354507,19.120904761904765,22.324,30.774733333333337,0
Central and South-Eastern Europe and CIS,1,2,1,2643,26,8,4,130,10,27,1316,34,7089,51.8,20.010904761904765,26.715185804294716,24.77068571428571,16.51666666666667,24.9468,0
Asia-Pacific,2,5,21,38516,36,9,1,5053,7,32,674,17,5152,13.1,24.036742857142855,17.06716385924307,35.52014285714286,18.275666666666666,25.281133333333333,0
Middle East,4,3,23,18896,20,10,5,7260,9,31,461,10,545,18.0,22.14395238095238,20.6990699069907,18.433447619047623,7.941000000000001,29.52366666666667,0
Developed Economies and EU,3,6,13,18074,58,2,5,216,5,32,1376,6,2223,46.9,24.152171428571428,11.660594630891662,20.08444761904762,14.946333333333333,31.0178,1
Asia-Pacific,3,9,24,22178,68,6,2,9574,1,43,440,37,4457,13.1,29.079085714285714,18.521895046647522,29.866161904761906,23.345,16.524800000000003,0
Central and South-Eastern Europe and CIS,3,4,7,9439,26,4,5,2757,6,37,759,40,7588,8.5,37.14762857142857,17.470204163273472,27.28831428571429,15.489,34.061,1
Middle East,5,8,9,15185,36,7,2,8737,7,1,664,11,4917,12.0,25.679647619047618,19.836855114082837,26.705238095238098,17.927666666666667,25.832666666666665,0
Developed Economies and EU,1,5,6,7605,21,8,1,6123,3,52,1069,27,8263,18.0,29.465742857142864,27.772991584872774,36.39122857142858,4.155333333333333,20.84046666666667,0
Central and South-Eastern Europe and CIS,4,8,22,40496,58,4,2,652,5,21,246,37,7785,8.5,25.487885714285717,22.697384024116694,17.02397142857143,18.116,20.378466666666668,0
Latin America and the Caribbean,3,5,4,27683,31,7,5,280,8,20,302,11,1112,13.1,23.307457142857146,14.28118526138328,24.237314285714284,12.548333333333336,31.415400000000005,0
Middle East,1,5,8,48582,29,2,5,1293,6,40,1003,29,3505,51.8,36.901723809523816,24.40766933836241,25.257114285714284,19.773666666666667,17.274733333333334,0
Africa,4,5,21,43912,24,9,1,462,6,57,746,25,2135,12.0,24.11190476190476,15.325189661823327,29.993295238095236,7.144333333333333,27.232733333333336,0
Latin America and the Caribbean,1,3,4,6131,61,6,4,145,1,53,585,21,8327,12.0,19.838457142857145,13.165645135942167,33.22907619047619,11.157333333333334,30.4012,0
Developed Economies and EU,3,6,20,49664,65,7,2,9988,5,57,1310,36,2417,8.5,26.82645714285714,14.403726086894403,23.18298095238095,12.54566666666667,31.783733333333338,0
Africa,1,1,12,22945,68,8,2,380,6,9,459,5,834,13.1,29.138419047619045,25.67976797679768,16.048952380952382,10.637333333333334,31.231533333333335,0
Asia-Pacific,4,7,23,21977,16,5,4,2693,4,58,1320,6,676,12.0,25.408142857142856,22.742945723143745,21.380257142857147,9.271,24.62746666666667,0
Developed Economies and EU,5,8,24,2240,26,10,4,421,5,29,765,26,5212,8.5,18.942038095238097,18.325032503250327,23.41389523809524,19.962333333333333,17.036466666666666,0
Middle East,2,6,20,7377,62,3,3,1826,9,54,1500,10,3319,13.1,24.481123809523808,29.825239666823826,27.02109523809524,10.431666666666667,23.22326666666667,1
Developed Economies and EU,1,2,22,43136,34,8,1,1891,7,16,1203,32,4438,51.8,22.772199999999998,24.088451702313087,32.62022857142857,13.660333333333332,22.300399999999996,0
Latin America and the Caribbean,5,1,20,42621,39,9,5,343,5,30,466,9,5558,13.1,25.42667619047619,16.280185161373282,21.76707619047619,18.250666666666667,25.451733333333333,0
Central and South-Eastern Europe and CIS,2,2,3,2710,20,6,5,1704,6,22,148,30,3051,51.8,29.74322857142857,25.883459774548882,27.841342857142852,12.711333333333336,19.480066666666666,0
Central and South-Eastern Europe and CIS,1,9,6,28206,12,2,2,3249,10,49,914,27,7878,12.0,29.59554285714286,26.597831211692597,25.374019047619043,21.502,26.426999999999996,0
Middle East,1,8,3,40396,66,10,3,530,3,47,1185,8,6888,46.9,33.35810476190476,15.3977111996914,23.18218095238095,15.554000000000002,23.480733333333333,0
Latin America and the Caribbean,4,2,16,1898,17,1,1,6639,7,27,809,15,9794,12.0,34.24330476190477,14.54052548111954,27.242685714285713,8.638000000000002,35.13346666666667,0
Central and South-Eastern Europe and CIS,4,7,11,26968,54,3,4,859,6,51,745,21,2206,18.0,23.310866666666673,16.378323546640384,32.0522380952381,21.337000000000003,31.031600000000005,0
Africa,4,6,1,40640,16,7,4,267,7,2,111,11,9882,46.9,42.67336190476191,28.182332518966184,36.0758380952381,13.174666666666667,22.24693333333333,0
Developed Economies and EU,4,1,23,25719,48,2,5,1735,7,21,1264,14,9898,12.0,16.659085714285716,13.511894046547512,23.623876190476196,10.478333333333332,27.5628,0
Asia-Pacific,2,3,20,29900,19,7,1,520,7,18,745,37,7504,8.5,31.104219047619047,28.097481176689097,22.76334285714286,15.336666666666666,23.180666666666667,0
Middle East,5,3,14,33385,60,9,2,4758,6,29,511,36,8622,51.8,29.07368571428572,21.477719200491478,22.79414285714286,12.7,28.18433333333334,1
Africa,5,3,6,49784,66,7,1,557,4,31,607,19,8316,13.1,14.140047619047621,17.973254468303974,23.12230476190476,20.057000000000002,23.8362,0
Developed Economies and EU,4,1,18,25823,16,8,2,2264,7,15,377,6,7170,13.1,24.418457142857143,14.086322918006086,20.562447619047617,8.627,23.629466666666666,0
Africa,5,5,4,38822,17,4,2,379,9,55,1453,17,6706,13.1,34.331314285714285,32.57049990713357,34.789971428571434,19.931,22.9708,0
Central and South-Eastern Europe and CIS,2,3,7,34932,62,1,4,854,10,60,970,17,2154,12.0,31.544590476190475,24.009258068664007,26.37000952380952,15.983333333333336,23.182533333333332,0
Developed Economies and EU,1,8,17,29067,26,3,4,147,1,48,996,34,4530,12.0,25.639371428571433,19.2011772605832,38.95926666666667,14.731000000000002,23.75,0
Asia-Pacific,2,9,9,44511,66,3,3,518,7,23,453,32,7924,51.8,20.608504761904765,25.06414927207007,29.787285714285716,17.791333333333334,32.562133333333335,0
Middle East,3,6,13,35458,28,6,4,921,5,21,1092,26,435,13.1,22.801990476190475,19.818081808180818,36.17499047619048,14.355666666666666,20.35426666666667,0
Developed Economies and EU,5,8,1,18852,28,7,2,930,10,21,899,8,2057,18.0,24.35518095238095,23.741445573128743,17.92677142857143,18.866333333333333,28.17566666666667,0
Asia-Pacific,4,9,18,49002,70,6,4,964,8,16,997,17,1683,18.0,29.8922380952381,26.6931407426457,28.92415238095238,15.766333333333336,28.1874,0
Middle East,3,9,23,28302,45,2,5,589,9,30,296,37,3232,51.8,31.280561904761907,14.258225822582258,21.92512380952381,20.23366666666667,23.4374,0
Developed Economies and EU,5,9,10,16890,55,5,4,748,4,14,1329,33,8586,12.0,20.57869523809524,15.629220064863631,20.425657142857144,7.1546666666666665,22.682066666666667,0
Africa,5,3,16,15602,27,1,1,2704,4,42,22,4,8848,8.5,23.084590476190474,15.838926749817839,19.672161904761907,16.900000000000002,14.692933333333333,0
Asia-Pacific,2,2,3,6081,32,5,2,2759,9,43,1295,32,2968,12.0,16.003952380952384,31.50306459217351,30.561495238095244,17.488666666666667,21.863733333333332,0
Central and South-Eastern Europe and CIS,3,2,16,10724,59,6,4,3292,4,33,176,39,3147,12.0,22.16562857142857,29.745846013172745,36.493723809523814,21.857333333333333,33.31426666666667,0
Africa,4,10,17,28070,65,5,1,999,8,23,848,4,4094,13.1,28.280514285714286,21.711113968539706,29.686257142857148,16.34433333333333,29.748,1
Middle East,1,6,9,43390,33,3,1,1561,9,42,1441,14,8380,13.1,33.99482857142857,18.010943951538014,26.54961904761905,18.52266666666667,18.023333333333337,0
Central and South-Eastern Europe and CIS,5,6,21,40924,56,8,3,8959,1,23,721,10,7352,18.0,41.368095238095236,30.652079493663653,13.590495238095238,10.937666666666669,37.14673333333334,0
Asia-Pacific,4,9,11,1703,48,2,4,238,2,60,970,40,1022,46.9,31.74124761904762,15.266655236952268,22.684161904761908,14.985000000000001,25.465133333333334,0
Central and South-Eastern Europe and CIS,1,10,1,18905,38,2,3,719,5,33,1157,30,520,46.9,31.658447619047624,27.160344605889158,25.101838095238087,12.514,26.641399999999997,1
Middle East,4,5,3,24172,63,4,4,5903,4,60,724,3,9510,51.8,33.159619047619046,19.637749489234636,29.903057142857143,12.305,25.276266666666665,0
Asia-Pacific,5,6,7,3212,30,7,2,157,10,33,614,25,2474,51.8,20.910200000000003,10.956624233851958,29.69121904761905,22.911333333333335,20.37793333333334,0
Africa,1,4,23,41746,58,9,5,7179,6,57,1072,38,1032,12.0,35.52633333333334,22.136170759933133,40.66400952380953,14.299999999999999,29.601800000000004,0
Central and South-Eastern Europe and CIS,3,2,16,30198,46,8,1,1754,5,15,478,32,7236,8.5,32.982238095238095,20.514737188004517,32.75785714285714,12.623000000000001,25.407133333333338,0
Latin America and the Caribbean,1,7,21,17423,47,10,4,3924,8,12,691,3,5643,8.5,31.68852380952381,17.432114640035433,26.384952380952388,26.526,25.00706666666667,0
Asia-Pacific,3,2,20,36096,54,1,3,405,9,52,932,31,9333,8.5,25.630914285714283,20.757732916148758,27.889619047619053,20.677000000000003,23.982400000000005,0
Developed Economies and EU,1,6,21,6802,67,6,5,4690,7,4,918,23,3304,46.9,23.16802857142857,24.166173760233168,36.56900000000001,15.657333333333334,22.5252,0
Middle East,5,6,24,26787,12,6,4,298,5,36,422,4,9689,18.0,30.031514285714287,21.96931121683597,19.278580952380953,15.604000000000001,19.074466666666666,1
Developed Economies and EU,1,3,11,1771,53,8,5,315,9,42,153,7,2386,8.5,18.619504761904764,26.234337719486238,23.696742857142862,10.297,25.718400000000003,0
Developed Economies and EU,3,1,7,9989,64,5,1,688,8,39,674,12,9245,13.1,36.678876190476196,24.481519580529483,20.368523809523815,7.076333333333333,29.487333333333332,0
Middle East,1,5,18,18718,18,8,5,3931,5,52,1238,36,8270,51.8,29.083,26.274656037032273,20.688180952380954,13.120666666666667,28.387400000000003,0
Africa,5,8,15,18618,68,3,5,716,2,2,160,33,100,51.8,25.048514285714283,30.64452159501665,31.61939047619048,24.134666666666664,34.2984,0
Latin America and the Caribbean,3,10,20,46883,39,10,2,434,6,11,1217,16,3329,18.0,21.710266666666666,28.12435529267212,29.76139047619048,9.353666666666667,34.183733333333336,0
Latin America and the Caribbean,1,4,17,27281,18,4,5,238,1,15,882,30,1477,8.5,21.372123809523814,17.41672738702442,32.65286666666667,18.115333333333332,27.378933333333332,0
Middle East,1,8,15,45218,58,4,1,186,7,36,979,37,8083,18.0,24.468904761904763,33.86135756432787,21.658304761904766,20.110333333333333,19.858533333333334,0
Latin America and the Caribbean,3,5,1,18804,16,6,4,8117,5,30,1368,23,2372,8.5,19.382809523809524,21.57441458431557,20.156447619047622,17.758000000000003,29.92366666666667,1
Africa,4,8,9,40101,46,9,4,9895,7,13,1182,8,4533,18.0,34.97557142857144,22.827382738273826,24.82096190476191,17.389000000000003,30.23100000000001,0
Latin America and the Caribbean,1,2,19,9629,61,7,3,2144,5,57,326,11,2897,46.9,42.59686666666666,11.647750489334648,18.520057142857144,16.556,24.07326666666667,0
Latin America and the Caribbean,3,1,16,26185,57,4,1,852,4,52,1021,19,2764,18.0,34.4068,12.349192062063349,28.77733333333334,15.984000000000002,26.643666666666665,0
Middle East,4,1,8,24308,31,7,3,899,3,23,254,14,3655,8.5,22.642257142857144,18.792879287928795,27.667142857142856,20.305333333333337,25.942666666666668,0
Middle East,1,4,18,23514,11,10,2,7994,3,27,1461,22,7360,46.9,32.42255238095238,27.57001414427157,27.866380952380958,17.438333333333333,37.068933333333334,0
Middle East,5,9,7,20718,46,6,1,9380,9,3,620,35,3998,13.1,38.96667619047619,21.103953252468106,26.087295238095237,12.508333333333333,16.1874,0
Developed Economies and EU,4,2,20,7067,51,6,3,9173,2,5,51,1,7764,12.0,23.09794285714286,22.83885531410284,25.284228571428574,12.848,22.202533333333342,0
Asia-Pacific,1,6,10,192,14,5,5,496,10,20,1025,31,4958,12.0,35.42949523809524,17.564899347077567,17.94217142857143,18.714333333333336,21.95686666666667,0
Developed Economies and EU,1,10,18,34947,66,2,1,290,1,5,736,40,1650,51.8,27.520333333333337,21.05763433486206,35.995095238095246,14.023333333333335,28.49013333333334,0
Latin America and the Caribbean,4,7,9,16314,17,5,1,4235,4,34,1403,19,2523,18.0,31.36865714285715,19.952923863814952,35.41346666666667,17.374333333333336,29.968066666666665,0
Developed Economies and EU,2,8,8,8682,19,8,5,754,5,39,1312,35,8413,13.1,34.14011428571428,25.931850327889933,30.25004761904762,10.902999999999999,24.507733333333334,0
Latin America and the Caribbean,5,8,15,4994,10,5,4,1416,1,47,17,38,7014,18.0,26.64041904761905,21.562313374194563,29.891276190476194,12.699666666666667,36.2572,0
Developed Economies and EU,4,8,18,9100,17,2,2,627,6,19,132,11,3769,46.9,30.644161904761912,22.216807395025217,25.964238095238095,17.324333333333335,26.79606666666667,0
Asia-Pacific,5,2,21,19718,51,8,4,539,9,32,981,35,9230,13.1,32.204590476190475,24.529638678153535,37.67374285714286,16.847333333333335,27.659333333333336,0
Asia-Pacific,3,4,6,14180,64,4,3,6782,4,39,1333,11,1410,13.1,38.82717142857143,14.425928307116425,21.438409523809522,16.933666666666667,25.097,0
Middle East,1,6,14,49897,19,6,2,6117,9,13,1327,15,3760,18.0,24.069352380952385,20.92809280928093,29.17310476190476,10.395000000000001,23.597599999999996,0
Middle East,4,1,2,1592,61,3,4,9671,10,51,1426,22,7570,46.9,27.551399999999997,21.756275627562754,20.149476190476193,10.735666666666665,34.205200000000005,1
Central and South-Eastern Europe and CIS,4,3,1,29602,46,6,1,724,10,33,211,12,9615,51.8,31.287200000000006,24.30287314445731,27.016009523809526,18.005666666666666,27.973733333333335,1
Africa,2,3,19,28804,20,7,2,3647,2,45,485,20,60,18.0,29.293466666666667,19.764505021930763,20.32662857142857,20.110333333333333,28.725866666666665,0
Central and South-Eastern Europe and CIS,1,10,23,29398,58,8,3,310,6,9,878,22,1165,18.0,39.87581904761905,14.36922263654937,24.698028571428573,15.041666666666668,25.4058,0
Africa,1,5,21,10886,47,8,4,363,10,56,982,14,3487,13.1,25.79994285714286,14.983355478404983,16.988685714285715,12.046333333333333,15.54366666666667,0
Asia-Pacific,2,5,5,5735,13,5,2,8669,7,31,1103,40,3679,18.0,29.323238095238096,18.875773291614877,12.972419047619049,16.705333333333336,25.94306666666667,0
Middle East,4,9,14,11170,27,9,2,350,5,27,1469,26,2470,13.1,21.23787619047619,14.73123026588373,28.38532380952381,19.066333333333336,19.3554,0
Central and South-Eastern Europe and CIS,3,7,9,45421,29,2,3,4214,3,37,1452,27,5293,13.1,23.940580952380955,11.682911148257686,10.583504761904763,17.702666666666666,40.077933333333334,0
Africa,5,8,3,41457,21,8,5,998,1,22,44,7,5970,8.5,22.175333333333334,19.7976083322618,34.18175238095238,16.76833333333333,30.618666666666673,0
Africa,3,1,11,23507,34,10,2,419,1,42,27,24,4215,46.9,33.261028571428575,15.347349020616347,20.858409523809527,13.680333333333335,33.46346666666666,0
